1001,2016-01-21,a,aaien ,aje,aje - aajde - geaajd / ajebieësje ( koosnaam )
1002,2016-01-01,a,aak,aok,aok-aoke-äökske 
1003,2013-12-01,a,aal,aol,aol-aole-äölke 
1004,2015-07-12,a,aalbes,mie~mer,mie~mer - mie~mere
1005,2016-02-06,a,aalmoes,aalmoos ,
1006,2013-12-01,a,aan elkaar,aanein ,
1007,2013-12-01,a,aanbesteding,aanbestaejing ,
1008,2014-11-04,a,aanbetaling,jatmoos ,
1009,2013-12-01,a,aanbevelen,aanrekómmandere,aanrekómmandere-rekómmandeerde aan-aangerekómmandeerd 
1010,2013-12-01,a,aanbieden,aanbeje ,aanbeje - booj aan - aangebaoje 
1011,2013-12-01,a,aanbinden,aanknuppe,aanknuppe-knupde aan - aangeknup / aanknuipe-knuipde aan-aangeknuip 
1012,2014-11-04,a,aandachtig,aandechtig ,aandechtig / met bedraag 
1013,2013-12-01,a,aandikken,aandieke,aandieke-diekde aan - aangediek 
1014,2013-12-01,a,aandoenlijk,aandeunlik ,
1015,2013-12-01,a,aaneengesloten,aaneinaan ,
1016,2013-12-01,a,aanhangwagen,aanhenger ,
1017,2015-08-20,m ,motregenen,ziebele,ziebele-ziebelde-geziebeld
1018,2014-01-05,a,aankleden,aantrekke,aantrekke - trok aan - aangetrokke / aandoon - deej aan - aangedaon 
1019,2014-11-04,a,aankleden ( lukraak ),aandoedele ,aandoedele - doedelde aan - aangedoedeld 
1020,2014-01-05,a,aankleden ( slordig ),aanpóngele,aanpóngele - póngelde aan - aangepóngeld 
1021,2013-12-01,a,aankomst,aankóms ,
1022,2013-12-01,a,aanlengen,aanlinge,aanlinge-lingde aan-aangelink 
1023,2013-12-01,a,aanlenglimonade,aanling ,
1024,2016-02-01,v,visite,aanloup ,
1025,2013-12-01,a,aanmaning,maanbreef,maanbreef-maanbreve 
1026,2013-12-01,a,aanpassen,veuge,veuge-veugde-geveug 
1027,2013-12-01,a,aanraken,aankómme,aankómme-kwaam aan-aangekómme 
1028,2015-08-24,a,aanrecht,aanrek ,
1029,2014-08-07,a,aanrommelen,aandoedele ,aandoedele - doedelde aan - aangedoedeld / kraoze-kraosde-gekraos 
1030,2014-08-09,a,aanrommelen,moerkse,moerskse-moerksde-gemoerks
1031,2013-12-01,a,aanslag,aanslaag ,
1032,2013-12-01,a,aansluiting,aansloe~ting ,
1033,2013-12-01,a,aanspraak,aanspraok ,
1034,2013-12-01,a,aanstellen,viola maken,viola maken-makde viola-viola gemak 
1035,2013-12-01,a,aanstonds,zómmedein ,
1036,2014-08-10,a,aantal,gas, 'ne gas
1037,2013-12-01,a,aantrekkelijk,appetietelik ,
1038,2013-12-01,a,aanvoerder,aanveurder ,
1039,2013-12-01,a,aanwennen,aangewinne,aangewinne-gewinde aan-aangewind 
1040,2013-12-01,a,aanwensel,aangewuuente ,aangewuuente / aanwinsel 
1041,2013-12-01,a,aap,aap,aap-ape-aepke 
1042,2013-12-01,a,aar,aor,aor-aore-äörke 
1043,2016-02-01,a,aardappel,petat,petat-petatte-petetje / pieper-piepers-pieperke
1044,2013-12-01,a,aardappelflensje,rie~fkook ,rie~fkook - rie~fkeuk - rie~fkukske 
1045,2016-02-01,a,aardappelschil,petatteschaal,petatteschaal-petatteschale-petatteschaelke
1046,2014-12-05,a,aardappelschilmesje,petattemetske,petattemetskes
1047,2013-12-01,a,aardbei,aerbaes,aerbaes-aerbaeze-aerbaeske 
1048,2013-12-01,a,aarde,aerd ,
1049,2013-12-01,a,aardig,kwant,kwant-kwanter-kwantste 
1050,2013-12-01,a,aarsgat,aarslaok ,
1051,2014-08-07,a,aas,aos,aos-aoze-äöske 
1052,2013-12-01,a,aasvlieg,stróntvleeg ,
1053,2013-12-01,a,abrikoos,abrikoeës,abrikoeës-abrikoeëze-abrikuueske 
1054,2013-12-01,a,accoord,akkaord ,
1055,2016-01-21,a,accordeon,trekbuul ,trekbuul / trekmonika 
1056,2014-12-05,a,accordeon,trekzak,trekzakke
